_-Z6wFjXtGQ,0902,0.063,0.049,0.524,0.996,12,0
_-Z6wFjXtGQ,0902,0.063,0.049,0.524,0.996,74,0
_-Z6wFjXtGQ,0902,0.063,0.049,0.524,0.996,80,0
_-Z6wFjXtGQ,0902,0.392,0.253,0.916,0.994,12,1
_-Z6wFjXtGQ,0902,0.392,0.253,0.916,0.994,17,1
_-Z6wFjXtGQ,0902,0.392,0.253,0.916,0.994,74,1
_-Z6wFjXtGQ,0903,0.032,0.048,0.494,0.980,12,0
_-Z6wFjXtGQ,0903,0.032,0.048,0.494,0.980,79,0
_-Z6wFjXtGQ,0903,0.032,0.048,0.494,0.980,80,0
_-Z6wFjXtGQ,0903,0.333,0.240,0.902,0.998,12,1
_-Z6wFjXtGQ,0903,0.333,0.240,0.902,0.998,74,1
_-Z6wFjXtGQ,0904,0.010,0.031,0.479,0.985,12,0
_-Z6wFjXtGQ,0904,0.010,0.031,0.479,0.985,79,0
_-Z6wFjXtGQ,0904,0.010,0.031,0.479,0.985,80,0
_-Z6wFjXtGQ,0904,0.372,0.229,0.888,0.996,12,1
_-Z6wFjXtGQ,0904,0.372,0.229,0.888,0.996,74,1
_-Z6wFjXtGQ,0905,0.049,0.029,0.497,1.000,12,0
_-Z6wFjXtGQ,0905,0.049,0.029,0.497,1.000,17,0
_-Z6wFjXtGQ,0905,0.049,0.029,0.497,1.000,79,0
_-Z6wFjXtGQ,0905,0.049,0.029,0.497,1.000,80,0
_-Z6wFjXtGQ,0905,0.370,0.226,0.914,0.988,12,1
_-Z6wFjXtGQ,0905,0.370,0.226,0.914,0.988,74,1
_-Z6wFjXtGQ,0906,0.044,0.020,0.515,0.992,12,0
_-Z6wFjXtGQ,0906,0.044,0.020,0.515,0.992,79,0
_-Z6wFjXtGQ,0906,0.044,0.020,0.515,0.992,80,0
_-Z6wFjXtGQ,0906,0.441,0.214,0.902,0.994,12,1
_-Z6wFjXtGQ,0906,0.441,0.214,0.902,0.994,74,1
_-Z6wFjXtGQ,0906,0.441,0.214,0.902,0.994,79,1
_-Z6wFjXtGQ,0906,0.441,0.214,0.902,0.994,80,1
_-Z6wFjXtGQ,0907,0.040,0.027,0.511,0.990,12,0
_-Z6wFjXtGQ,0907,0.040,0.027,0.511,0.990,17,0
_-Z6wFjXtGQ,0907,0.040,0.027,0.511,0.990,74,0
_-Z6wFjXtGQ,0907,0.040,0.027,0.511,0.990,79,0
_-Z6wFjXtGQ,0907,0.040,0.027,0.511,0.990,80,0
_-Z6wFjXtGQ,0907,0.412,0.231,0.944,0.989,12,1
_-Z6wFjXtGQ,0907,0.412,0.231,0.944,0.989,74,1
_-Z6wFjXtGQ,0907,0.412,0.231,0.944,0.989,80,1
_-Z6wFjXtGQ,0908,0.042,0.041,0.530,0.994,12,0
_-Z6wFjXtGQ,0908,0.042,0.041,0.530,0.994,17,0
_-Z6wFjXtGQ,0908,0.042,0.041,0.530,0.994,74,0
_-Z6wFjXtGQ,0908,0.042,0.041,0.530,0.994,79,0
_-Z6wFjXtGQ,0908,0.042,0.041,0.530,0.994,80,0
_-Z6wFjXtGQ,0908,0.411,0.253,0.924,0.989,12,1
_-Z6wFjXtGQ,0908,0.411,0.253,0.924,0.989,74,1
_-Z6wFjXtGQ,0908,0.411,0.253,0.924,0.989,79,1
_-Z6wFjXtGQ,0908,0.411,0.253,0.924,0.989,80,1
_-Z6wFjXtGQ,0909,0.040,0.025,0.511,0.993,12,0
_-Z6wFjXtGQ,0909,0.040,0.025,0.511,0.993,79,0
_-Z6wFjXtGQ,0909,0.040,0.025,0.511,0.993,80,0
_-Z6wFjXtGQ,0909,0.418,0.247,0.912,0.996,12,1
_-Z6wFjXtGQ,0909,0.418,0.247,0.912,0.996,74,1
_-Z6wFjXtGQ,0909,0.418,0.247,0.912,0.996,80,1
_-Z6wFjXtGQ,0910,0.058,0.030,0.517,0.987,12,0
_-Z6wFjXtGQ,0910,0.058,0.030,0.517,0.987,79,0
_-Z6wFjXtGQ,0910,0.058,0.030,0.517,0.987,80,0
_-Z6wFjXtGQ,0910,0.441,0.242,0.904,0.994,12,1
_-Z6wFjXtGQ,0910,0.441,0.242,0.904,0.994,74,1
_-Z6wFjXtGQ,0910,0.441,0.242,0.904,0.994,80,1
_-Z6wFjXtGQ,0911,0.279,0.069,0.987,0.991,12,1
